fecha	banda	reflec
2026-01-15	B01	0.15329500000000001
2026-01-15	B02	0.189675
2026-01-15	B03	0.23394
2026-01-15	B04	0.29178000000000004
2026-01-15	B05	0.30482
2026-01-15	B06	0.24414
2026-01-15	B07	0.25733
2026-01-15	B08	0.23187
2026-01-15	B8A	0.21725500000000003
2026-01-15	B11	0.12599000000000002
2026-01-15	B12	0.1203
