fecha	param	valor
2017-01-01	pH	7.44
2017-01-01	alcalinidad	32.666666666666664
2017-01-01	turbidez	111.33333333333331
2017-01-01	conductividad	NA
2017-01-02	pH	7.441666666666666
2017-01-02	alcalinidad	32.666666666666664
2017-01-02	turbidez	91.8
2017-01-02	conductividad	NA
2017-01-03	pH	7.393333333333333
2017-01-03	alcalinidad	31.666666666666668
2017-01-03	turbidez	91.1
2017-01-03	conductividad	NA
2017-01-04	pH	7.386666666666667
2017-01-04	alcalinidad	31.666666666666668
2017-01-04	turbidez	73.8
2017-01-04	conductividad	NA
2017-01-05	pH	7.502
2017-01-05	alcalinidad	35.2
2017-01-05	turbidez	128.6
2017-01-05	conductividad	NA
2017-01-06	pH	7.551666666666667
2017-01-06	alcalinidad	40
2017-01-06	turbidez	205.66666666666663
2017-01-06	conductividad	NA
2017-01-07	pH	7.603333333333333
2017-01-07	alcalinidad	40
2017-01-07	turbidez	216
2017-01-07	conductividad	NA
2017-01-08	pH	7.583333333333333
2017-01-08	alcalinidad	39.333333333333336
2017-01-08	turbidez	202.66666666666663
2017-01-08	conductividad	NA
2017-01-09	pH	7.488333333333333
2017-01-09	alcalinidad	35.666666666666664
2017-01-09	turbidez	179.66666666666666
2017-01-09	conductividad	NA
2017-01-10	pH	7.451666666666666
2017-01-10	alcalinidad	34.333333333333336
2017-01-10	turbidez	152
2017-01-10	conductividad	NA
2017-01-11	pH	7.513333333333334
2017-01-11	alcalinidad	34
2017-01-11	turbidez	159.66666666666666
2017-01-11	conductividad	NA
2017-01-12	pH	7.533333333333333
2017-01-12	alcalinidad	34.333333333333336
2017-01-12	turbidez	163.5
2017-01-12	conductividad	NA
2017-01-13	pH	7.498333333333333
2017-01-13	alcalinidad	33.666666666666664
2017-01-13	turbidez	196.83333333333337
2017-01-13	conductividad	NA
2017-01-14	pH	7.513333333333334
2017-01-14	alcalinidad	33.666666666666664
2017-01-14	turbidez	198.16666666666663
2017-01-14	conductividad	NA
2017-01-15	pH	7.486666666666666
2017-01-15	alcalinidad	36
2017-01-15	turbidez	325.5
2017-01-15	conductividad	NA
2017-01-16	pH	7.801666666666667
2017-01-16	alcalinidad	44
2017-01-16	turbidez	474.3333333333333
2017-01-16	conductividad	NA
2017-01-17	pH	7.896666666666667
2017-01-17	alcalinidad	45
2017-01-17	turbidez	525.04
2017-01-17	conductividad	NA
2017-01-18	pH	7.875
2017-01-18	alcalinidad	43.666666666666664
2017-01-18	turbidez	625
2017-01-18	conductividad	NA
2017-01-19	pH	7.806666666666667
2017-01-19	alcalinidad	44.333333333333336
2017-01-19	turbidez	586.6666666666666
2017-01-19	conductividad	NA
2017-01-20	pH	7.851666666666667
2017-01-20	alcalinidad	44.666666666666664
2017-01-20	turbidez	665.1666666666666
2017-01-20	conductividad	NA
2017-01-21	pH	7.96
2017-01-21	alcalinidad	44
2017-01-21	turbidez	673.5
2017-01-21	conductividad	NA
2017-01-22	pH	7.938333333333333
2017-01-22	alcalinidad	42.666666666666664
2017-01-22	turbidez	635.1666666666666
2017-01-22	conductividad	NA
2017-01-23	pH	7.946666666666666
2017-01-23	alcalinidad	44
2017-01-23	turbidez	723.3333333333334
2017-01-23	conductividad	NA
2017-01-24	pH	8.008333333333333
2017-01-24	alcalinidad	44.333333333333336
2017-01-24	turbidez	906
2017-01-24	conductividad	NA
2017-01-25	pH	8
2017-01-25	alcalinidad	44.666666666666664
2017-01-25	turbidez	915.5
2017-01-25	conductividad	NA
2017-01-26	pH	7.9425
2017-01-26	alcalinidad	42.5
2017-01-26	turbidez	715.25
2017-01-26	conductividad	NA
2017-01-27	pH	7.988333333333333
2017-01-27	alcalinidad	43
2017-01-27	turbidez	772.6666666666666
2017-01-27	conductividad	NA
2017-01-28	pH	7.991666666666666
2017-01-28	alcalinidad	43.333333333333336
2017-01-28	turbidez	764
2017-01-28	conductividad	NA
2017-01-29	pH	8.006666666666666
2017-01-29	alcalinidad	44
2017-01-29	turbidez	803.8333333333334
2017-01-29	conductividad	NA
2017-01-30	pH	7.936666666666667
2017-01-30	alcalinidad	43.333333333333336
2017-01-30	turbidez	776.8
2017-01-30	conductividad	NA
2017-01-31	pH	7.936666666666667
2017-01-31	alcalinidad	40.666666666666664
2017-01-31	turbidez	600.8333333333334
2017-01-31	conductividad	NA
2017-02-01	pH	7.966
2017-02-01	alcalinidad	41.6
2017-02-01	turbidez	543.2
2017-02-01	conductividad	NA
2017-02-02	pH	7.951666666666666
2017-02-02	alcalinidad	42
2017-02-02	turbidez	497.6666666666667
2017-02-02	conductividad	NA
2017-02-03	pH	7.766666666666667
2017-02-03	alcalinidad	43.333333333333336
2017-02-03	turbidez	421.5
2017-02-03	conductividad	NA
2017-02-04	pH	7.818333333333333
2017-02-04	alcalinidad	43.333333333333336
2017-02-04	turbidez	328.6666666666667
2017-02-04	conductividad	NA
2017-02-05	pH	7.81
2017-02-05	alcalinidad	41.666666666666664
2017-02-05	turbidez	277.1666666666667
2017-02-05	conductividad	NA
2017-02-06	pH	7.408333333333333
2017-02-06	alcalinidad	37.666666666666664
2017-02-06	turbidez	318.3333333333333
2017-02-06	conductividad	NA
2017-02-07	pH	7.445
2017-02-07	alcalinidad	38
2017-02-07	turbidez	296.1666666666667
2017-02-07	conductividad	NA
2017-02-08	pH	7.471666666666667
2017-02-08	alcalinidad	37.333333333333336
2017-02-08	turbidez	246.83333333333337
2017-02-08	conductividad	NA
2017-02-09	pH	7.351666666666667
2017-02-09	alcalinidad	36.333333333333336
2017-02-09	turbidez	242
2017-02-09	conductividad	NA
2017-02-10	pH	7.371666666666666
2017-02-10	alcalinidad	36.666666666666664
2017-02-10	turbidez	195.5
2017-02-10	conductividad	167.12
2017-02-11	pH	7.365
2017-02-11	alcalinidad	36.333333333333336
2017-02-11	turbidez	202.83333333333337
2017-02-11	conductividad	176.21666666666667
2017-02-12	pH	7.371666666666666
2017-02-12	alcalinidad	36
2017-02-12	turbidez	234.16666666666663
2017-02-12	conductividad	176.43333333333334
2017-02-13	pH	7.503333333333334
2017-02-13	alcalinidad	38
2017-02-13	turbidez	291.5
2017-02-13	conductividad	185.54
2017-02-14	pH	7.388333333333334
2017-02-14	alcalinidad	36.666666666666664
2017-02-14	turbidez	310.8333333333333
2017-02-14	conductividad	195.68333333333337
2017-02-15	pH	7.39
2017-02-15	alcalinidad	36.333333333333336
2017-02-15	turbidez	257.8333333333333
2017-02-15	conductividad	199.3
2017-02-16	pH	7.345
2017-02-16	alcalinidad	36
2017-02-16	turbidez	269
2017-02-16	conductividad	206.85
2017-02-17	pH	7.201666666666667
2017-02-17	alcalinidad	34.666666666666664
2017-02-17	turbidez	241.16666666666663
2017-02-17	conductividad	239.96666666666667
2017-02-18	pH	7.168333333333333
2017-02-18	alcalinidad	35.666666666666664
2017-02-18	turbidez	219
2017-02-18	conductividad	221.33333333333337
2017-02-19	pH	7.201666666666667
2017-02-19	alcalinidad	35.333333333333336
2017-02-19	turbidez	195.83333333333337
2017-02-19	conductividad	184.65
2017-02-20	pH	7.301666666666667
2017-02-20	alcalinidad	37
2017-02-20	turbidez	266.6666666666667
2017-02-20	conductividad	197.2
2017-02-21	pH	7.341666666666667
